Unnamed: 0,radio,MCC,MNC,TAC,CID,unit,LON,LAT,RANGE,SAM,changeable,created,updated,averageSignal,Country,Network,Continent
12848156,GSM,602,3,22152,51031,0,30.729062,28.243735,1992,25,1,1353865453,1353865453,0,Egypt,Etisalat,Africa
12848157,GSM,602,3,22152,51032,0,30.728073,28.22525,1000,2,1,1353865462,1353865462,0,Egypt,Etisalat,Africa
12848158,UMTS,602,3,32081,13682419,0,30.727789,28.202591,2446,29,1,1353865639,1353865639,0,Egypt,Etisalat,Africa
12848159,UMTS,602,3,32081,13652421,0,30.726994,28.170024,1288,14,1,1353865744,1353865744,0,Egypt,Etisalat,Africa
12848160,GSM,602,3,22151,51021,0,30.741931,28.125812,3706,11,1,1353865973,1353865973,0,Egypt,Etisalat,Africa
12848161,GSM,602,3,22151,51024,0,30.736862,28.138733,2186,10,1,1353865889,1353865889,0,Egypt,Etisalat,Africa
12848162,GSM,602,3,22151,51013,0,30.74707,28.115616,1000,6,1,1354106003,1470478611,0,Egypt,Etisalat,Africa
12848163,GSM,602,3,22151,51541,0,30.746613,28.112984,1000,4,1,1354106003,1468913825,0,Egypt,Etisalat,Africa
12848164,UMTS,602,3,22151,13683029,0,30.747299194336,28.113327026367,1000,1,1,1353866030,1353866030,0,Egypt,Etisalat,Africa
12848165,UMTS,602,3,32081,13683029,0,30.747849,28.11058,1000,5,1,1353866094,1353866094,0,Egypt,Etisalat,Africa
12848166,UMTS,602,3,32081,13683030,0,30.750732,28.103256,1000,6,1,1353866143,1353866143,0,Egypt,Etisalat,Africa
12848167,UMTS,602,3,32081,13682491,0,30.753773,28.098025,1000,7,1,1353866210,1353866210,0,Egypt,Etisalat,Africa
12848168,UMTS,602,3,32081,13682490,0,30.755467,28.09533,1000,19,1,1353866522,1353866522,0,Egypt,Etisalat,Africa
12848169,UMTS,602,3,32081,13683119,0,30.758089,28.091943,1000,7,1,1353866561,1353866561,0,Egypt,Etisalat,Africa
12848170,UMTS,602,3,32081,13683120,0,30.758285522461,28.091354370117,1000,1,1,1353866547,1353866547,0,Egypt,Etisalat,Africa
12848171,UMTS,602,3,32081,13684710,0,30.758286,28.089523,1000,3,1,1353866576,1353866576,0,Egypt,Etisalat,Africa
12848172,UMTS,602,3,32081,13684699,0,30.760002,28.085175,1000,4,1,1353866632,1353866632,0,Egypt,Etisalat,Africa
12848173,UMTS,602,3,32081,13682469,0,30.759658813477,28.08723449707,1000,2,1,1353866595,1353866595,0,Egypt,Etisalat,Africa
12848174,UMTS,602,3,32081,13684701,0,30.76149,28.078766,1000,6,1,1353866666,1353866666,0,Egypt,Etisalat,Africa
12848175,UMTS,602,3,32081,13686001,0,30.762405395508,28.076248168945,1000,1,1,1353866669,1353866669,0,Egypt,Etisalat,Africa
12848176,UMTS,602,3,32081,13685999,0,30.765324,28.073502,1000,8,1,1353866711,1353866711,0,Egypt,Etisalat,Africa
12848177,UMTS,602,3,32081,13686000,0,30.76789855957,28.070755004883,1000,1,1,1353866713,1353866713,0,Egypt,Etisalat,Africa
12848178,UMTS,602,3,32081,13684059,0,30.768585,28.069382,1000,2,1,1353866723,1353866723,0,Egypt,Etisalat,Africa
12848179,UMTS,602,3,32081,13685669,0,30.77219,28.06612,1000,8,1,1353866763,1353866763,0,Egypt,Etisalat,Africa
12848180,UMTS,602,3,32081,13683410,0,30.779846,28.058258,1000,10,1,1353866836,1353866836,0,Egypt,Etisalat,Africa
12848181,GSM,602,3,22151,53071,0,30.792389,28.044663,1000,6,1,1353866891,1353866891,0,Egypt,Etisalat,Africa
12848182,GSM,602,3,22151,53072,0,30.797012,28.037247,1000,5,1,1353866916,1353866916,0,Egypt,Etisalat,Africa
12848183,GSM,602,3,22151,57804,0,30.8004,28.032303,1000,3,1,1353866934,1353866934,0,Egypt,Etisalat,Africa
12848184,UMTS,602,3,22151,13685670,0,30.802230834961,28.029556274414,1000,1,1,1353866938,1353866938,0,Egypt,Etisalat,Africa
12848185,UMTS,602,3,32081,13683409,0,30.804977416992,28.025436401367,1000,1,1,1353866959,1353866959,0,Egypt,Etisalat,Africa
12848186,UMTS,602,3,32081,13682459,0,30.816687,28.003066,2936,38,1,1353867177,1353867177,0,Egypt,Etisalat,Africa
12848187,UMTS,602,3,32081,13685199,0,30.829925,27.952118,3279,36,1,1353867411,1353867411,0,Egypt,Etisalat,Africa
12848188,UMTS,602,3,32081,13685202,0,30.82489,27.930679,1000,4,1,1353867435,1353867435,0,Egypt,Etisalat,Africa
12848189,UMTS,602,3,32081,13684680,0,30.823419,27.926167,1000,7,1,1353867471,1353867471,0,Egypt,Etisalat,Africa
12848190,UMTS,602,3,32081,13684681,0,30.818897,27.911641,1645,22,1,1353867617,1353867617,0,Egypt,Etisalat,Africa
12848191,UMTS,602,3,32081,13685699,0,30.810379,27.889938,1908,15,1,1353867721,1353867721,0,Egypt,Etisalat,Africa
12848192,UMTS,602,3,32081,13685702,0,30.804062,27.87117,1000,3,1,1353867746,1353867746,0,Egypt,Etisalat,Africa
12848193,UMTS,602,3,32081,13682452,0,30.802169,27.835336,3577,89,1,1353871945,1353871945,0,Egypt,Etisalat,Africa
12848194,UMTS,602,3,32081,13689071,0,30.815621,27.808972,2177,8,1,1353872265,1353872265,0,Egypt,Etisalat,Africa
12848195,UMTS,602,3,32081,13682450,0,30.812188,27.8088,1422,4,1,1353872200,1353872200,0,Egypt,Etisalat,Africa
12848196,UMTS,602,3,32081,13689070,0,30.839767,27.79747,1000,3,1,1353872439,1353872439,0,Egypt,Etisalat,Africa
12848197,UMTS,602,3,32081,13654691,0,30.846176,27.752609,2256,12,1,1353872920,1353872920,0,Egypt,Etisalat,Africa
12848198,UMTS,602,3,32081,13688430,0,30.85167,27.734909,2350,9,1,1353873246,1353873246,0,Egypt,Etisalat,Africa
12848199,UMTS,602,3,32081,13684659,0,30.848648,27.739105,1000,10,1,1353873026,1353873026,0,Egypt,Etisalat,Africa
12848200,UMTS,602,3,32081,13684689,0,30.853042602539,27.724685668945,1000,1,1,1353873167,1353873167,0,Egypt,Etisalat,Africa
12848201,GSM,602,3,22402,53162,0,30.872269,27.693558,1000,3,1,1353873401,1353873401,0,Egypt,Etisalat,Africa
12848202,GSM,602,3,22402,51911,0,30.872268676758,27.690353393555,1000,1,1,1353873431,1353873431,0,Egypt,Etisalat,Africa
12848203,UMTS,602,3,32081,13683399,0,30.866141,27.669754,2042,13,1,1353873618,1353873618,0,Egypt,Etisalat,Africa
12848204,UMTS,602,3,32081,13683400,0,30.859909057617,27.64778137207,1000,1,1,1353873666,1353873666,0,Egypt,Etisalat,Africa
12848205,UMTS,602,3,32081,13684090,0,30.859222,27.643662,1000,2,1,1353873721,1353873721,0,Egypt,Etisalat,Africa
12848206,UMTS,602,3,32081,13684091,0,30.857162475586,27.639541625977,1000,1,1,1353873743,1353873743,0,Egypt,Etisalat,Africa
12848207,UMTS,602,3,32081,13688039,0,30.850983,27.628899,1134,4,1,1353873866,1353873866,0,Egypt,Etisalat,Africa
12848208,UMTS,602,3,32081,13688920,0,30.853729,27.634048,1000,2,1,1353873804,1353873804,0,Egypt,Etisalat,Africa
12848209,GSM,602,3,22402,52581,0,30.84342956543,27.616195678711,1000,1,1,1353873928,1353873928,0,Egypt,Etisalat,Africa
12848210,UMTS,602,3,32081,13684070,0,30.842056,27.613449,1000,2,1,1353873974,1353873974,0,Egypt,Etisalat,Africa
12848211,UMTS,602,3,32081,13684071,0,30.839309692383,27.609329223633,1000,1,1,1353874005,1353874005,0,Egypt,Etisalat,Africa
12848212,UMTS,602,3,22402,13688039,0,30.836563110352,27.60383605957,1000,1,1,1353874035,1353874035,0,Egypt,Etisalat,Africa
12848213,UMTS,602,3,32081,13688041,0,30.834503,27.601776,1000,2,1,1353874074,1353874074,0,Egypt,Etisalat,Africa
12848214,UMTS,602,3,32081,13688040,0,30.824203491211,27.583236694336,1000,1,1,1353874112,1353874112,0,Egypt,Etisalat,Africa
12848215,UMTS,602,3,32081,13684631,0,30.819397,27.57431,1000,2,1,1353874137,1353874137,0,Egypt,Etisalat,Africa
12848216,UMTS,602,3,32081,13683051,0,30.812302,27.557602,1000,3,1,1353874207,1353874207,0,Egypt,Etisalat,Africa
12848217,UMTS,602,3,32081,13683050,0,30.810299,27.528219,2892,16,1,1353874420,1353874420,0,Egypt,Etisalat,Africa
12848218,GSM,602,3,22033,54362,0,30.813217163086,27.495346069336,1000,1,1,1353874473,1353874473,0,Egypt,Etisalat,Africa
12848219,UMTS,602,3,22033,13425588,0,30.813217163086,27.492599487305,1000,1,1,1353874490,1353874490,0,Egypt,Etisalat,Africa
12848220,UMTS,602,3,32042,13425588,0,30.818024,27.478409,1170,6,1,1353874617,1353874617,0,Egypt,Etisalat,Africa
12848221,UMTS,602,3,32042,13425587,0,30.825302,27.455521,1096,5,1,1353874684,1353874684,0,Egypt,Etisalat,Africa
12848222,UMTS,602,3,32042,13425586,0,30.840291,27.432371,1591,7,1,1353874779,1353874779,0,Egypt,Etisalat,Africa
12848223,UMTS,602,3,32042,13423697,0,30.870554,27.40677,2408,4,1,1353874937,1353874937,0,Egypt,Etisalat,Africa
12848224,UMTS,602,3,32042,13423696,0,30.903512,27.376213,1802,8,1,1353875106,1353875106,0,Egypt,Etisalat,Africa
12848225,UMTS,602,3,32042,13426318,0,30.920334,27.35733,1000,2,1,1353875158,1353875158,0,Egypt,Etisalat,Africa
12848226,UMTS,602,3,32042,13373605,0,30.925827026367,27.351150512695,1000,1,1,1353875180,1353875180,0,Egypt,Etisalat,Africa
12848227,UMTS,602,3,32042,13422457,0,30.93773,27.337418,2103,3,1,1353875357,1353875357,0,Egypt,Etisalat,Africa
12848228,UMTS,602,3,32042,13421817,0,30.93956,27.335358,1000,4,1,1353875297,1353875297,0,Egypt,Etisalat,Africa
12848229,UMTS,602,3,32042,13421816,0,30.947113,27.327118,1000,2,1,1353875327,1353875327,0,Egypt,Etisalat,Africa
12848230,UMTS,602,3,32042,13422456,0,30.957413,27.314529,1000,3,1,1353875450,1353875450,0,Egypt,Etisalat,Africa
12848231,GSM,602,3,22033,56984,0,30.962905883789,27.308578491211,1000,1,1,1353875527,1353875527,0,Egypt,Etisalat,Africa
12848232,GSM,602,3,22031,56984,0,30.968857,27.304459,1000,3,1,1353875554,1353875554,0,Egypt,Etisalat,Africa
12848233,UMTS,602,3,32042,13423766,0,30.991746,27.28592,1268,2,1,1353875955,1353875955,0,Egypt,Etisalat,Africa
